County,State,Population,Suicides'16
Winchester,VA,27516,2
Adams,WA,19238,2
Asotin,WA,22306,7
Benton,WA,193686,26
Chelan,WA,76338,14
Clallam,WA,74570,13
Clark,WA,467018,73
Columbia,WA,3938,3
Cowlitz,WA,105160,21
Douglas,WA,41327,5
Ferry,WA,7614,3
Franklin,WA,90160,7
Garfield,WA,2247,-1
Grant,WA,93546,9
GraysHarbor,WA,71628,19
Island,WA,82636,16
Jefferson,WA,31139,17
King,WA,2149970,264
Kitsap,WA,264811,46
Kittitas,WA,44866,7
Klickitat,WA,21301,4
Lewis,WA,77066,15
Lincoln,WA,10350,1
Mason,WA,62198,11
Okanogan,WA,41554,7
Pacific,WA,21249,4
PendOreille,WA,13123,1
Pierce,WA,861312,175
SanJuan,WA,16339,6
Skagit,WA,123681,18
Skamania,WA,11510,5
Snohomish,WA,787620,116
Spokane,WA,499072,90
Stevens,WA,44439,6
Thurston,WA,275222,53
Wahkiakum,WA,4139,2
WallaWalla,WA,60340,10
Whatcom,WA,216800,30
Whitman,WA,48851,2
Yakima,WA,249636,33
Barbour,WV,16831,2
Berkeley,WV,113525,24
Boone,WV,22816,4
Braxton,WV,14471,2
Brooke,WV,22977,2
Cabell,WV,95987,21
Calhoun,WV,7336,1
Clay,WV,8859,1
Doddridge,WV,8413,3
Fayette,WV,44323,12
Gilmer,WV,8249,1
Grant,WV,11732,2
Greenbrier,WV,35279,7
Hampshire,WV,23301,3
Hancock,WV,29590,8
Hardy,WV,13889,1
Harrison,WV,68400,10
Jackson,WV,29152,3
Jefferson,WV,56368,10
Kanawha,WV,186241,46
Lewis,WV,16309,4
Lincoln,WV,21232,7
Logan,WV,33700,10
McDowell,WV,19141,8
Marion,WV,56538,10
Marshall,WV,31793,2
Mason,WV,26825,3
Mercer,WV,60468,13
Mineral,WV,27411,9
Mingo,WV,24647,2
Monongalia,WV,104622,7
Monroe,WV,13370,5
Morgan,WV,17632,5
Nicholas,WV,25311,4
Ohio,WV,42516,8
Pendleton,WV,7051,1
Pleasants,WV,7591,2
Pocahontas,WV,8501,1
Preston,WV,33758,3
Putnam,WV,56941,11
Raleigh,WV,76601,25
Randolph,WV,29006,4
Ritchie,WV,9875,3
Roane,WV,14208,6
Summers,WV,12872,3
Taylor,WV,16859,3
Tucker,WV,6926,4
Tyler,WV,8972,1
Upshur,WV,24658,5
Wayne,WV,40531,5
Webster,WV,8646,1
Wetzel,WV,15640,3
Wirt,WV,5806,1
Wood,WV,85643,14
Wyoming,WV,21763,6
Adams,WI,20069,2
Ashland,WI,15714,2
Barron,WI,45412,9
Bayfield,WI,14891,2
Brown,WI,260401,56
Buffalo,WI,13099,1
Burnett,WI,15213,1
Calumet,WI,49553,4
Chippewa,WI,63649,14
Clark,WI,34557,3
Columbia,WI,56927,14
Crawford,WI,16321,1
Dane,WI,531273,72
Dodge,WI,88068,12
Door,WI,27587,3
Douglas,WI,43509,8
Dunn,WI,44704,6
EauClaire,WI,102965,21
Florence,WI,4456,-1
FondduLac,WI,102144,20
Forest,WI,9064,1
Grant,WI,52214,8
Green,WI,37075,7
GreenLake,WI,18719,2
Iowa,WI,23654,4
Iron,WI,5726,1
Jackson,WI,20562,3
Jefferson,WI,84625,10
Juneau,WI,26274,6
Kenosha,WI,168183,23
Kewaunee,WI,20405,5
LaCrosse,WI,118122,19
Lafayette,WI,16753,5
Langlade,WI,19221,4
Lincoln,WI,27902,0
Manitowoc,WI,79536,16
Marathon,WI,135603,18
Marinette,WI,40491,5
Marquette,WI,15067,5
Menominee,WI,4533,2
Milwaukee,WI,951448,112
Monroe,WI,45623,6
Oconto,WI,37430,8
Oneida,WI,35601,4
Outagamie,WI,184526,26
Ozaukee,WI,88314,13
Pepin,WI,7307,1
Pierce,WI,41238,1
Polk,WI,43481,4
Portage,WI,70447,9
Price,WI,13517,7
Racine,WI,195140,32
Richland,WI,17476,2
Rock,WI,161620,26
Rusk,WI,14127,4
St.Croix,WI,88029,10
Sauk,WI,63949,9
Sawyer,WI,16369,5
Shawano,WI,41062,7
Sheboygan,WI,115427,20
Taylor,WI,20439,3
Trempealeau,WI,29633,8
Vernon,WI,30814,4
Vilas,WI,21435,9
Walworth,WI,102959,12
Washburn,WI,15648,3
Washington,WI,134296,21
Waukesha,WI,398424,56
Waupaca,WI,51533,6
Waushara,WI,24162,2
Winnebago,WI,169886,30
Wood,WI,73107,11
Albany,WY,38256,10
BigHorn,WY,12005,3
Campbell,WY,48803,7
Carbon,WY,15618,6
Converse,WY,14191,6
Crook,WY,7464,1
Fremont,WY,40242,19
Goshen,WY,13390,1
HotSprings,WY,4679,1
Johnson,WY,8486,1
Laramie,WY,98136,25
Lincoln,WY,19110,4
Natrona,WY,81039,17
Niobrara,WY,2480,-1
Park,WY,29353,10
Platte,WY,8680,3
Sheridan,WY,30200,6
Sublette,WY,9769,6
Sweetwater,WY,44165,7
Teton,WY,23191,3
Uinta,WY,20773,5
Washakie,WY,8235,1
Weston,WY,7236,1
