"","county","state","clinton_16","trump_16","obama_08","mccain_08","obama_12","romney_12","clinton_primary","sanders_primary","miss_data","alcohol_08","alcohol_12","alcohol_16","drug_08","drug_12","drug_16","suicides_08","suicides_12","suicides_16","pop_2014","pop_2010","perc_under_18","perc_over_65","perc_females","perc_white","perc_black","perc_asian","perc_hisp","perc_immigrants","perc_high_school","perc_bachelors","perc_vets","commuting_time","perc_own_homes","per_cap_income","median_hh_income","perc_below_poverty","land_area","pop_density_2010","pop_density_2014","religious_14","civic_14","business_14","political_14","professsional_14","labor_14","bowling_14","recreation_14","golf_14","sports_14","pop_14","soc_cap_agg_14","voter_to_12","census_resp_10","non_profits_14","soc_cap_indx_14","hh_inc_change_p25","hh_inc_change_p75","diversity_idx_2016","surplus_hillary","surplus_hillary2"
"1607","Webster","Missouri",3177,12840,5683,10427,4407,10702,943,1171,0,2,0,3,10,4,4,2,7,8,36888,36202,27.2,14.6,49.1,96.3,1.1,0.3,1.9,0.8,84.7,15,3036,30.7,75.9,19955,44596,18.9,592.56,61.1,62.25192386,27,1,1,0,0,0,0,4,1,0,36880,0.921908894,0.673520168,0.77,154,-0.685412373,0.33,0.2,0.062594,94816,41353
"1608","Worth","Missouri",195,808,427,707,341,664,59,76,-1,0.139456251,0.082899341,0.109762678,0.108482403,0.16270974,0.310037129,0.6005386,0.693770092,0.409357514,2073,2171,20.4,24.3,50.1,97.6,0.8,0.3,1.3,0.2,92.9,15.6,221,26.5,76.3,22967,39348,13.2,266.61,8.1,7.775402273,3,1,0,0,0,0,0,0,0,0,2062,1.93986421,0.666242848,0.62,24,1.541824535,NA,NA,0.047225,103866,41564
"1609","Wright","Missouri",1170,6707,2556,5780,1953,5831,402,385,0,0,3,2,1,2,3,7,4,4,18291,18815,25.1,19.1,51.1,96.8,0.7,0.3,1.7,2.2,76.5,11.1,1597,26,72.2,14752,28645,27.5,681.77,27.6,26.82869589,19,2,1,0,0,0,1,2,1,0,18303,1.420532153,0.605403349,0.66,98,-0.275578171,0.29,0.38,0.045328,98942,41598
"1610","St.Louis","Missouri",104235,20832,NA,NA,NA,NA,35050,28263,0,45,65,70,108,152,270,106,136,130,1001876,998954,22.3,16.5,52.6,69.9,23.9,4,2.7,6.7,92.1,40.6,70308,23.4,71,34795,58910,10.9,507.8,1967.2,1972.973612,582,64,64,13,16,44,19,132,30,5,1002188,0.966884457,0.691991539,0.81,6334,-0.211983208,NA,NA,0.094971,187882,48368
"1611","Beaverhead","Montana",1143,3353,1611,2983,1347,3251,244,323,0,0,2,2,1,0,0,2,3,1,9345,9246,18,19.8,48.9,95.1,0.4,0.5,3.7,1.4,93.1,27.2,979,14,64.1,22872,41614,15.1,5541.62,1.7,1.68632999,7,5,0,0,0,0,0,2,2,0,9310,1.71858217,0.718316167,0.57,127,1.921274477,0.78,0.08,0.583248,102269,41502
"1612","BigHorn","Montana",2094,1853,3490,1622,2830,1655,414,486,0,10,11,7,0,1,4,2,3,1,13282,12865,33.5,11.4,50.8,31.9,0.4,0.5,5.6,1.2,84.5,15.5,630,18.6,67.4,15695,39966,25.5,4995.46,2.6,2.658814203,8,0,0,0,0,0,0,0,1,0,13313,0.676030947,0.5496673,0.54,78,-1.044370606,NA,NA,0.57207,104720,41509
"1613","Blaine","Montana",1202,1268,1711,1138,1598,1169,280,406,0,3,0,1,0.745914233,0.662247223,1.076242851,3,2,1,6619,6491,30.2,14.2,50.6,48.2,0.2,0.2,2.3,0.8,87.4,15.9,527,14.6,65.4,17437,37151,28.8,4227.55,1.5,1.565682251,7,3,0,0,0,0,0,0,1,0,6635,1.657874906,0.70436068,0.59,70,1.267659585,0.05,0.12,0.570089,104413,41455
"1614","Broadwater","Montana",573,2348,854,1853,761,2150,190,257,-1,0.483054523,0.772887237,0.772887237,0.575070662,0.50893675,0.832678596,1,1,0,5667,5612,20.6,20.9,49.3,96.2,0.5,0.2,2.5,1.2,89.4,19.4,708,25.3,80.7,24270,45932,10.5,1192.54,4.7,4.75204186,5,0,0,0,0,0,0,1,1,0,5631,1.243118451,0.757103344,0.69,41,0.512999364,NA,NA,0.554916,102704,41514
"1615","Carbon","Montana",1828,3748,2431,3093,2126,3513,616,689,0,0,0,2,2,1,1,3,2,2,10399,10078,18.3,22.3,49.8,96.7,0.5,0.3,2.3,1.9,92.8,27.6,1179,27.1,76.7,27599,47831,11.1,2048.79,4.9,5.075678815,6,3,1,0,0,0,1,1,1,0,10413,1.248439451,0.814799331,0.56,110,1.368704914,0.7,0.11,0.536629,102559,41508
"1616","Carter","Montana",70,678,111,573,96,678,21,26,-1,0.116274451,0.186039122,0.186039122,0.139045833,0.123728774,0.200431302,0.114177217,0.157649817,0.334367907,1169,1160,16.7,25.2,50,98,0.1,0.1,1.2,0.2,92.8,16.4,75,13,80.4,24921,39659,13.7,3340.75,0.3,0.349921425,2,0,0,0,0,0,0,0,0,0,1176,1.700680272,0.799196787,0.57,17,2.379864818,NA,NA,0.533668,103871,41576
