county,state,clinton,trump
Columbia,FL,"7,601","20,368"
DeSoto,FL,"3,781","6,778"
Dixie,FL,"1,270","5,822"
Duval,FL,"205,704","211,672"
Escambia,FL,"57,461","88,808"
Flagler,FL,"22,026","33,850"
Franklin,FL,"1,744","4,125"
Gadsden,FL,"15,020","6,728"
Gilchrist,FL,"1,458","6,740"
Glades,FL,"1,271","2,996"
Gulf,FL,"1,720","5,329"
Hamilton,FL,"1,904","3,443"
Hardee,FL,"2,149","5,242"
Hendry,FL,"4,615","6,195"
Hernando,FL,"31,795","58,970"
Highlands,FL,"14,937","29,565"
Hillsborough,FL,"307,896","266,870"
Holmes,FL,853,"7,483"
Indian River,FL,"29,043","48,620"
Jackson,FL,"6,397","14,257"
Jefferson,FL,"3,541","3,930"
Lafayette,FL,518,"2,809"
Lake,FL,"62,838","102,188"
Lee,FL,"124,908","191,551"
Leon,FL,"92,068","53,821"
Levy,FL,"5,101","13,775"
Liberty,FL,651,"2,543"
Madison,FL,"3,526","4,851"
Manatee,FL,"71,224","101,944"
Marion,FL,"62,041","107,833"
Martin,FL,"30,185","53,204"
Miami-Dade,FL,"624,146","333,999"
Monroe,FL,"18,971","21,904"
Nassau,FL,"10,869","34,266"
Okaloosa,FL,"23,780","71,893"
Okeechobee,FL,"3,959","9,356"
Orange,FL,"329,894","195,216"
Osceola,FL,"85,458","50,301"
Palm Beach,FL,"374,673","272,402"
Pasco,FL,"90,142","142,101"
Pinellas,FL,"233,701","239,201"
Polk,FL,"117,433","157,430"
Putnam,FL,"10,094","22,138"
St. Johns,FL,"43,099","88,684"
St. Lucie,FL,"66,881","70,289"
Santa Rosa,FL,"18,464","65,339"
Sarasota,FL,"97,870","124,438"
Seminole,FL,"105,914","109,443"
Sumter,FL,"22,638","52,730"
Suwannee,FL,"3,964","14,287"
Taylor,FL,"2,152","6,930"
Union,FL,"1,014","4,568"
Volusia,FL,"109,091","143,007"
Wakulla,FL,"4,348","10,512"
Walton,FL,"6,876","25,756"
