county,state,diversity_index
Suwannee,FL,0.087448
Taylor,FL,0.085577
Union,FL,0.077953
Volusia,FL,0.074147
Wakulla,FL,0.074022
Walton,FL,0.07222
Washington,FL,0.068142
Appling,GA,0.619602
Atkinson,GA,0.605921
Bacon,GA,0.600455
Baker,GA,0.600004
Baldwin,GA,0.597853
Banks,GA,0.59646
Barrow,GA,0.590242
Bartow,GA,0.587216
BenHill,GA,0.578365
Berrien,GA,0.57337
Bibb,GA,0.572274
Bleckley,GA,0.568559
Brantley,GA,0.557975
Brooks,GA,0.554213
Bryan,GA,0.551138
Bulloch,GA,0.548329
Burke,GA,0.547996
Butts,GA,0.545306
Calhoun,GA,0.542523
Camden,GA,0.539116
Candler,GA,0.537389
Carroll,GA,0.535203
Catoosa,GA,0.531245
Charlton,GA,0.527825
Chatham,GA,0.527666
Chattahoochee,GA,0.527542
Chattooga,GA,0.527412
Cherokee,GA,0.526027
Clarke,GA,0.520283
Clay,GA,0.518661
Clayton,GA,0.516495
Clinch,GA,0.514446
Cobb,GA,0.512687
Coffee,GA,0.512421
Colquitt,GA,0.509963
Columbia,GA,0.5098
Cook,GA,0.505987
Coweta,GA,0.502624
Crawford,GA,0.501455
Crisp,GA,0.498704
Dade,GA,0.49331
Dawson,GA,0.486223
Decatur,GA,0.484552
DeKalb,GA,0.482295
Dodge,GA,0.472771
Dooly,GA,0.471531
Dougherty,GA,0.471384
Douglas,GA,0.471287
Early,GA,0.465121
Echols,GA,0.463435
Effingham,GA,0.460464
Elbert,GA,0.459528
Emanuel,GA,0.457591
Evans,GA,0.451123
Fannin,GA,0.448191
Fayette,GA,0.447209
Floyd,GA,0.443008
Forsyth,GA,0.43945
Franklin,GA,0.434097
Fulton,GA,0.42711
Gilmer,GA,0.414644
Glascock,GA,0.41396
Glynn,GA,0.411712
Gordon,GA,0.409697
Grady,GA,0.409318
Greene,GA,0.39737
Gwinnett,GA,0.386647
Habersham,GA,0.386177
Hall,GA,0.38379
Hancock,GA,0.379919
Haralson,GA,0.374819
Harris,GA,0.369373
Hart,GA,0.366982
Heard,GA,0.362141
Henry,GA,0.359469
Houston,GA,0.347296
Irwin,GA,0.331579
Jackson,GA,0.32523
Jasper,GA,0.320937
JeffDavis,GA,0.318384
Jefferson,GA,0.317055
Jenkins,GA,0.310587
Johnson,GA,0.306426
Jones,GA,0.30098
Lamar,GA,0.272016
Lanier,GA,0.269335
Laurens,GA,0.26591
Lee,GA,0.261504
Liberty,GA,0.256363
Lincoln,GA,0.253121
Long,GA,0.244252
Lowndes,GA,0.242338
Lumpkin,GA,0.241141
Macon,GA,0.238283
Madison,GA,0.234176
Marion,GA,0.22833
McDuffie,GA,0.214784
McIntosh,GA,0.214288
Meriwether,GA,0.204895
Miller,GA,0.199888
Mitchell,GA,0.194479
Monroe,GA,0.191245
Montgomery,GA,0.187002
Morgan,GA,0.183684
Murray,GA,0.178444
Muscogee,GA,0.177987
Newton,GA,0.17073
Oconee,GA,0.162028
Oglethorpe,GA,0.161109
Paulding,GA,0.14842
Peach,GA,0.147826
Pickens,GA,0.142792
Pierce,GA,0.142369
Pike,GA,0.141123
Polk,GA,0.135515
Pulaski,GA,0.128248
Putnam,GA,0.128106
Quitman,GA,0.12643
Rabun,GA,0.126305
Randolph,GA,0.12464
Richmond,GA,0.120521
Rockdale,GA,0.117192
Schley,GA,0.106124
Screven,GA,0.10437
Seminole,GA,0.104208
Spalding,GA,0.096861
Stephens,GA,0.092873
Stewart,GA,0.091179
Sumter,GA,0.089237
Talbot,GA,0.087395
Taliaferro,GA,0.087389
Tattnall,GA,0.087044
Taylor,GA,0.085603
Telfair,GA,0.085499
Terrell,GA,0.085421
Thomas,GA,0.085308
Tift,GA,0.083649
Toombs,GA,0.081754
Towns,GA,0.081722
Treutlen,GA,0.081676
Troup,GA,0.081624
Turner,GA,0.079857
Twiggs,GA,0.079797
Union,GA,0.077914
Upson,GA,0.077771
Walker,GA,0.073928
Walton,GA,0.072226
Ware,GA,0.072058
Warren,GA,0.07036
Washington,GA,0.068445
Wayne,GA,0.064561
Webster,GA,0.062643
Wheeler,GA,0.058846
