county,state,Clinton,Sanders
Washington,FL,858,781
Florida,T,"1,101,414","568,839"
,,,
Appling,GA,491,143
Atkinson,GA,201,49
Bacon,GA,113,58
Baker,GA,304,48
Baldwin,GA,"3,036",764
Banks,GA,172,169
Barrow,GA,"1,458",879
Bartow,GA,"2,219","1,495"
Ben Hill,GA,780,180
Berrien,GA,326,146
Bibb,GA,"13,019","2,650"
Bleckley,GA,370,98
Brantley,GA,137,125
Brooks,GA,726,198
Bryan,GA,895,502
Bulloch,GA,"1,916","1,227"
Burke,GA,"1,660",185
Butts,GA,922,191
Calhoun,GA,499,61
Camden,GA,"1,405",690
Candler,GA,435,111
Carroll,GA,"3,186","1,941"
Catoosa,GA,"1,088","1,027"
Charlton,GA,275,84
Chatham,GA,"19,916","7,507"
Chattahoochee,GA,182,40
Chattooga,GA,568,302
Cherokee,GA,"4,844","4,442"
Clarke,GA,"7,107","6,878"
Clay,GA,298,44
Clayton,GA,"25,151","5,557"
Clinch,GA,167,38
Cobb,GA,"39,509","22,520"
Coffee,GA,"1,094",309
Colquitt,GA,"1,035",302
Columbia,GA,"4,806","2,338"
Cook,GA,580,171
Coweta,GA,"4,359","2,235"
Crawford,GA,493,120
Crisp,GA,731,172
Dade,GA,242,231
Dawson,GA,312,269
Decatur,GA,"1,325",337
DeKalb,GA,"82,601","32,707"
Dodge,GA,579,141
Dooly,GA,740,91
Dougherty,GA,"8,920","1,439"
Douglas,GA,"9,393","3,151"
Early,GA,673,76
Echols,GA,32,36
Effingham,GA,"1,179",621
Elbert,GA,818,258
Emanuel,GA,758,145
Evans,GA,347,85
Fannin,GA,547,356
Fayette,GA,"7,267","2,925"
Floyd,GA,"2,568","1,368"
Forsyth,GA,"3,707","3,153"
Franklin,GA,352,205
Fulton,GA,"83,457","33,800"
Gilmer,GA,490,423
Glascock,GA,38,19
Glynn,GA,"2,881","1,282"
Gordon,GA,778,554
Grady,GA,887,262
Greene,GA,"1,077",169
Gwinnett,GA,"37,881","19,094"
Habersham,GA,612,553
Hall,GA,"3,495","2,256"
Hancock,GA,"1,121",147
Haralson,GA,414,312
Harris,GA,"1,372",448
Hart,GA,740,276
Heard,GA,277,111
Henry,GA,"15,795","4,468"
Houston,GA,"6,311","1,956"
Irwin,GA,326,76
Jackson,GA,"1,193",733
Jasper,GA,634,133
Jeff Davis,GA,400,107
Jefferson,GA,"1,615",208
Jenkins,GA,356,64
Johnson,GA,389,64
Jones,GA,"1,587",371
Lamar,GA,871,208
Lanier,GA,234,70
Laurens,GA,"2,296",453
Lee,GA,"1,010",336
Liberty,GA,"2,787",679
Lincoln,GA,538,93
Long,GA,264,113
Lowndes,GA,"4,016","1,900"
Lumpkin,GA,560,537
McDuffie,GA,"1,274",223
McIntosh,GA,866,149
Macon,GA,977,105
Madison,GA,656,505
Marion,GA,431,120
Meriwether,GA,"1,463",237
Miller,GA,159,37
