"","county","state","clinton_16","trump_16","obama_08","mccain_08","obama_12","romney_12","clinton_primary","sanders_primary","miss_data","alcohol_08","alcohol_12","alcohol_16","drug_08","drug_12","drug_16","suicides_08","suicides_12","suicides_16","pop_2014","pop_2010","perc_under_18","perc_over_65","perc_females","perc_white","perc_black","perc_asian","perc_hisp","perc_immigrants","perc_high_school","perc_bachelors","perc_vets","commuting_time","perc_own_homes","per_cap_income","median_hh_income","perc_below_poverty","land_area","pop_density_2010","pop_density_2014","religious_14","civic_14","business_14","political_14","professsional_14","labor_14","bowling_14","recreation_14","golf_14","sports_14","pop_14","soc_cap_agg_14","voter_to_12","census_resp_10","non_profits_14","soc_cap_indx_14","hh_inc_change_p25","hh_inc_change_p75","diversity_idx_2016","total_votes_16","total_votes_08","total_votes_12","primary_total","suicides_16_scaled","alcohol_08_scaled","alcohol_12_scaled","alcohol_16_scaled","drug_08_scaled","drug_12_scaled","drug_16_scaled","suicides_08_scaled","suicides_12_scaled","religious_14_scaled","civic_14_scaled","business_14_scaled","political_14_scaled","professsional_14_scaled","labor_14_scaled","bowling_14_scaled","recreation_14_scaled","golf_14_scaled","sports_14_scaled","non_profits_14_scaled","total_mort_08","total_mort_12","total_mort_16","total_mort_08_scaled","total_mort_12_scaled","total_mort_16_scaled","trump_over_romney","trump_over_mccain","trump_over_hillary"
"1223","QueenAnne's","Maryland",7973,16993,8349,14766,7898,14879,2458,1851,0,0,3,6,7,5,14,8,4,7,48804,47798,22.3,17.3,50.3,89.8,6.9,1.1,3.4,3.3,91.7,33.2,4180,33.9,84.5,38108,87256,8.1,371.91,128.5,131.2252964,21,7,2,2,0,0,1,4,2,1,48726,0.820916964,0.776351602,0.76,236,-0.233181529,NA,NA,0.126541,24966,23115,22777,4309,14.3430866322433,0,6.14703712810425,12.2940742562085,14.3430866322433,10.2450618801738,28.6861732644865,16.392099008278,8.196049504139,43.0292598967298,14.3430866322433,4.0980247520695,4.0980247520695,0,0,2.04901237603475,8.196049504139,4.0980247520695,2.04901237603475,483.566920744201,15,12,27,0.000313820661952383,0.000251056529561906,0.000553233341529383,2114,2227,9020
"1224","St.Mary's","Maryland",17534,28663,18402,24078,17982,25096,4892,3725,0,4,7,12,12,11,24,10,20,5,110382,105151,24.9,12,50.2,79.1,14.5,2.8,4.7,3.9,90.3,29.5,12902,28.9,72.9,36017,85672,7.2,357.18,294.4,309.0374601,50,10,2,1,1,3,1,7,1,0,110350,0.688717716,0.755365411,0.75,423,-0.609098418,NA,NA,0.094852,46197,42480,43078,8617,4.52972404921092,3.62377923936874,6.34161366889529,10.8713377181062,10.8713377181062,9.96539290826403,21.7426754362124,9.05944809842184,18.1188961968437,45.2972404921092,9.05944809842184,1.81188961968437,0.905944809842184,0.905944809842184,2.71783442952655,0.905944809842184,6.34161366889529,0.905944809842184,0,383.214654563244,26,38,41,0.000247263459215794,0.00036138505577693,0.000371437372035296,3567,4585,11129
"1225","Somerset","Maryland",4196,5341,4650,4897,4478,4706,1207,668,0,1,0,3,3,3,11,1,3,3,25859,26470,16.7,15.3,45.8,53.6,42.8,1,3.7,3.2,79.6,14.2,2083,23.2,68.1,16748,38447,23.4,319.72,82.8,80.88014513,21,3,1,0,0,0,0,1,0,0,25632,1.014357054,0.764637258,0.69,110,-0.178065895,-0.18,0,0.098473,9537,9547,9184,1875,11.6013766967013,3.86712556556711,0,11.6013766967013,11.6013766967013,11.6013766967013,42.5383812212383,3.86712556556711,11.6013766967013,81.2096368769094,11.6013766967013,3.86712556556711,0,0,0,0,3.86712556556711,0,0,425.383812212383,5,6,17,0.000188893086513034,0.00022667170381564,0.000657411346146409,635,444,1145
"1226","Talbot","Maryland",8653,10724,8582,10636,7983,10442,2710,1550,0,1,3,5,3,3,11,6,3,6,37643,37782,18.6,26.6,52.6,83.3,13.2,1.5,6.3,5.2,89,33.3,4164,25.8,72.5,38022,61597,8.6,268.54,140.7,140.17651,32,8,2,0,0,0,2,7,1,0,37560,1.384451544,0.814983198,0.75,350,1.209010898,-0.11,0.01,0.087393,19377,19218,18425,4260,15.9392184469888,2.65653640783147,7.96960922349441,13.2826820391573,7.96960922349441,7.96960922349441,29.2219004861462,15.9392184469888,7.96960922349441,85.009165050607,21.2522912626518,5.31307281566294,0,0,0,5.31307281566294,18.5957548548203,2.65653640783147,0,929.787742741014,10,9,22,0.000264676300884019,0.000238208670795617,0.000584438009722923,282,88,2071
"1227","Washington","Maryland",21129,40998,25462,33381,23282,34113,6211,5189,0,7,9,10,21,27,63,18,24,25,149573,147430,22.3,15.8,49,84.4,10.9,1.7,4.3,4.8,85.8,19.5,12218,28.1,64.9,26532,55609,12.4,457.78,322.1,326.7355498,129,24,6,1,1,6,4,15,2,1,149423,1.264865516,0.725217073,0.75,830,0.08126023,0.17,0.25,0.066537,62127,58843,57395,11400,16.7142465551938,4.67998903545426,6.01712875986976,6.68569862207751,14.0399671063628,18.0513862796093,42.1199013190883,12.0342575197395,16.045676692986,86.2455122247999,16.045676692986,4.01141917324651,0.668569862207751,0.668569862207751,4.01141917324651,2.67427944883101,10.0285479331163,1.3371397244155,0.668569862207751,554.912985632434,46,60,98,0.00031201248049922,0.000406972800651157,0.000655198464963596,6885,7617,19869
"1228","Wicomico","Maryland",18050,22198,18697,21234,17481,20136,5543,3410,0,1,3,3,11,18,36,10,11,10,101539,98733,21.9,14.4,52.2,68.7,25.2,3,5.2,8.3,85.5,26.3,7490,21.9,63,25378,51092,17,374.44,263.7,271.1756223,59,15,4,0,0,6,0,9,5,1,101768,0.97280088,0.756951213,0.73,509,-0.138495696,-0.22,-0.02,0.056903,40248,39931,37617,8953,9.84843262194822,0.984843262194822,2.95452978658447,2.95452978658447,10.833275884143,17.7271787195068,35.4543574390136,9.84843262194822,10.833275884143,58.1057524694945,14.7726489329223,3.93937304877929,0,0,5.90905957316893,0,8.86358935975339,4.92421631097411,0.984843262194822,501.285220457164,22,32,49,0.000222823169558304,0.000324106428448442,0.000482573198475463,2062,964,4148
"1229","Worcester","Maryland",9753,17210,NA,NA,9841,14334,3214,2086,0,6,1,6,12,8,23,8,8,10,51675,51454,17.9,25.3,51.4,82.7,13.7,1.4,3.5,5.1,89.3,27.6,5267,21.9,78.4,32887,57952,10.9,468.28,109.9,110.3506449,53,9,7,0,0,0,2,11,13,0,51563,1.842406377,0.766407982,0.59,307,0.895275749,-0.07,0.13,0.047267,26963,NA,24175,5300,19.351717464925,11.611030478955,1.9351717464925,11.611030478955,23.22206095791,15.48137397194,44.5089501693275,15.48137397194,15.48137397194,102.564102564103,17.4165457184325,13.5462022254475,0,0,0,3.870343492985,21.2868892114175,25.1572327044025,0,594.097726173198,26,17,39,0.000505305709954523,0.000330392194970265,0.000754716981132075,2876,NA,7457
"1230","Barnstable","Massachusetts",72430,54099,73503,55570,12842,12290,21889,22456,0,24,23,32,32,24,95,35,29,25,214914,215888,15.9,27.8,52.4,93.5,2.5,1.4,2.7,6.8,94.5,39.1,21360,24.6,79,36142,60526,9.3,393.72,548.3,545.8549223,113,30,21,3,4,9,7,48,23,2,214665,1.211189528,0.784792888,0.74,1577,0.592139762,0.14,-0.12,0.591041,126529,129073,25132,44345,11.6325600007445,11.1672576007147,10.7019552006849,14.8896768009529,14.8896768009529,11.1672576007147,44.203728002829,16.2855840010423,13.4937696008636,52.5791712033651,13.9590720008934,9.77135040062537,1.39590720008934,1.86120960011912,4.18772160026801,3.25711680020845,22.3345152014294,10.7019552006849,0.930604800059559,733.781884846962,91,76,152,0.000421514859556807,0.00035203438820129,0.000707259648045265,41809,-1471,-18331
"1231","Berkshire","Massachusetts",43714,16839,49415,14851,NA,NA,12916,13851,0,8,17,14,11,23,38,17,16,15,128715,131219,17.9,20.9,51.6,92.9,3.1,1.4,4.1,4.9,90.6,30.3,10389,20.4,68.4,29294,48450,12.8,926.83,141.6,138.8766009,65,24,11,1,2,9,5,14,15,1,128565,1.143390503,0.711828859,0.74,958,0.248726964,-0.13,-0.03,0.573836,60553,64266,NA,26767,11.6536534203473,6.21528182418522,13.2074738763936,10.8767431923241,8.54601250825467,17.8689352445325,29.5225886648798,13.2074738763936,12.4305636483704,50.4991648215049,18.6458454725556,8.54601250825467,0.776910228023152,1.5538204560463,6.99219205220837,3.88455114011576,10.8767431923241,11.6536534203473,0.776910228023152,744.27999844618,36,56,67,0.000274350513264085,0.000426767465077466,0.000520529852775512,NA,1988,-26875
"1232","Bristol","Massachusetts",129540,105443,146311,90284,NA,NA,37187,36797,0,43,58,76,112,120,284,55,48,60,554194,548285,21.1,15.7,51.5,90.4,4.7,2.2,6.9,11.9,81.9,25.3,33409,27,63.1,28837,55298,12.4,553.1,991.3,1001.977943,228,73,16,0,6,39,8,77,29,1,554626,0.860039017,0.685509188,0.74,1814,-0.837333672,-0.16,0.13,0.555853,234983,236595,NA,73984,10.8265336687153,7.75901579591262,10.4656492130914,13.713609313706,20.2095295149352,21.6530673374306,51.2455926985857,9.92432252965568,8.66122693497223,41.1408279411181,13.1722826302703,2.88707564499074,0,1.08265336687153,7.03724688466494,1.44353782249537,13.894051541518,5.23282460654572,0.180442227811921,327.322201250826,210,226,420,0.000383012484383122,0.000412194387955169,0.00075785735681007,NA,15159,-24097
"1233","Dukes","Massachusetts",8400,2477,7892,2438,NA,NA,2312,2804,0,0,3,2,1,1,4,2,4,4,17356,16535,18.3,19.8,50.5,90.8,3.7,0.9,3.1,7.8,93.4,40.7,966,16.5,78.4,33363,66288,10.1,103.25,160.2,168.0968523,17,6,1,1,0,0,0,7,5,0,17320,2.136258661,0.783428571,0.75,244,2.578422423,-0.08,-0.38,0.468465,10877,10330,NA,5116,23.0467849734962,0,17.2850887301221,11.5233924867481,5.76169624337405,5.76169624337405,23.0467849734962,11.5233924867481,23.0467849734962,97.9488361373588,34.5701774602443,5.76169624337405,5.76169624337405,0,0,0,40.3318737036183,28.8084812168702,0,1405.85388338327,3,8,10,0.000181433323253704,0.000483822195343211,0.000576169624337405,NA,39,-5923
"1234","Essex","Massachusetts",222310,136316,208323,136905,1154,962,65679,66494,0,45,67,76,100,126,316,50,54,72,769091,743159,22,15.6,51.8,86.6,6.3,3.8,18.6,14.9,89,36.6,43065,28,63.4,35167,67311,11.2,492.56,1508.8,1561.415868,328,103,35,12,9,41,8,117,39,0,770486,0.898134424,0.7309947,0.74,3479,-0.400648264,0.01,-0.19,0.453225,358626,345228,2116,132173,9.36170102107553,5.85106313817221,8.71158289461195,9.88179552224639,13.0023625292716,16.3829767868822,41.0874655924982,6.50118126463578,7.02127576580665,42.6477490960107,13.3924334051497,4.55082688524505,1.56028350351259,1.17021262763444,5.33096863700134,1.04018900234173,15.2127641592477,5.07092138641591,0,452.352192393358,195,247,464,0.000262393377460274,0.000332364944783014,0.000603309621358201,135354,-589,-85994
"1235","Franklin","Massachusetts",24478,10364,27818,9528,8589,8549,5485,13286,0,5,10,9,4,11,18,5,10,8,70862,71372,18.2,18.2,51.2,94.6,1.4,1.5,3.8,4.2,92,34,5542,24.5,68.5,29259,53663,12.1,699.32,102.1,101.3298633,52,9,3,0,2,3,2,9,6,0,70927,1.212514275,0.758619304,0.81,509,0.431032523,0.19,-0.22,0.4329,34842,37346,17138,18771,11.2895487002907,7.05596793768169,14.1119358753634,12.700742287827,5.64477435014535,15.5231294628997,25.4014845756541,7.05596793768169,14.1119358753634,73.3820665518896,12.700742287827,4.23358076260901,0,2.82238717507268,4.23358076260901,2.82238717507268,12.700742287827,8.46716152521803,0,718.297536055996,14,31,35,0.000196155355041193,0.000434344000448355,0.000493917755637718,1815,836,-14114
"1236","Hampden","Massachusetts",112590,78685,120021,70923,1286,1569,31776,29699,0,39,48,68,55,86,153,44,49,37,468161,463490,22.5,15.3,51.7,83.6,10.7,2.4,23.2,9.3,83.7,24.5,32603,22.7,61.8,25817,49094,17.7,617.14,751,758.597725,193,77,13,2,16,48,5,40,19,2,469566,0.883794823,0.663041536,0.78,1862,-0.802709748,-0.23,-0.1,0.380696,191275,190944,2855,61475,7.90326404805185,8.3304675101087,10.2528830893646,14.5249177099331,11.7480952065636,18.3697488684448,32.6810648473495,9.39847616525084,10.466484820393,41.2251340884867,16.447333289189,2.77682250336957,0.427203462056857,3.41762769645485,10.2528830893646,1.06800865514214,8.54406924113713,4.05843288954014,0.427203462056857,397.726423174933,138,183,258,0.000297741051586874,0.000394830524930419,0.000551092466053345,77116,7762,-33905
"1237","Hampshire","Massachusetts",55367,21790,56847,20569,NA,NA,14309,24638,0,10,6,19,16,13,35,12,11,16,160939,158080,15.6,14.7,53.4,88.9,3,5.3,5.3,8.2,93.3,42.3,10038,23.3,67,29460,61227,13,527.26,299.8,305.2365057,68,25,8,0,7,9,3,19,10,0,161106,0.924856926,0.759427598,0.81,975,-0.018371878,0.25,-0.07,0.3806,77157,77416,NA,38947,9.94165491273091,6.21353432045682,3.72812059227409,11.805715208868,9.94165491273091,8.07759461659387,21.7473701215989,7.45624118454818,6.8348877525025,42.2520333791064,15.533835801142,4.97082745636546,0,4.34947402431977,5.59218088841114,1.86406029613705,11.805715208868,6.21353432045682,0,605.81959624454,38,30,70,0.000240384615384615,0.000189777327935223,0.000434947402431977,NA,1221,-33577
"1238","Middlesex","Massachusetts",520360,219793,462226,245215,NA,NA,170096,154785,0,70,83,116,176,173,444,103,131,156,1570315,1503085,20.6,14,51.2,80.9,5.5,11.1,7.5,19.3,92.1,50.7,74275,28.4,62.7,42861,82090,8.1,817.82,1837.9,1920.12301,669,206,75,21,42,79,12,324,49,1,1572523,0.939890863,0.766341807,0.77,8438,-0.080553619,0.39,0.03,0.201917,740153,707441,NA,324881,9.93431254238799,4.45770434594333,5.28556372447566,7.38705291613466,11.2079423555147,11.0168978835457,28.274581851412,6.55919353760233,8.34227527597966,42.602917249087,13.1183870752047,4.776111799225,1.337311303783,2.674622607566,5.03083776185033,0.764177887875999,20.632802972652,3.12039304216033,0.0636814906563333,537.34441815814,349,387,716,0.000232189131020534,0.000257470469068616,0.000455959473099346,NA,-25422,-300567
"1239","Nantucket","Massachusetts",4146,1892,4059,1863,3828,2185,979,1060,0,0,2,1,0,1,2,1,2,1,10856,10172,20.9,13.4,48.9,88.4,8.1,1.4,12.8,16.6,94,44,510,12.1,65.8,47331,85478,10.4,44.97,226.2,241.4053814,6,3,2,0,0,1,0,3,4,0,10821,1.755845116,0.724860831,0.75,140,1.796910995,0.59,-0.06,0.176332,6038,5922,6013,2039,9.21149594694178,0,18.4229918938836,9.21149594694178,0,9.21149594694178,18.4229918938836,9.21149594694178,18.4229918938836,55.2689756816507,27.6344878408254,18.4229918938836,0,0,9.21149594694178,0,27.6344878408254,36.8459837877671,0,1289.60943257185,1,5,4,9.83090837593394e-05,0.000491545418796697,0.000368459837877671,-293,29,-2254
"1240","Norfolk","Massachusetts",221819,119723,199833,136573,2424,3199,72105,61835,0,27,43,47,91,90,245,47,64,57,692254,670850,21.6,15.7,52.1,80.9,6.9,10.2,4,15.5,93.7,49.2,38108,31.5,69.3,44692,84916,6.6,396.11,1693.6,1747.630709,328,60,45,8,22,49,7,131,29,3,692688,0.984570254,0.76650843,0.77,3630,-0.06147513,0.57,0.31,0.166201,341542,336406,5623,133940,8.2339719236003,3.90030249012646,6.21159285464584,6.78941544577568,13.145463948204,13.0010083004215,35.391633706703,6.78941544577568,9.24516145807753,47.3814524726473,8.66733886694768,6.50050415021076,1.15564518225969,3.17802425121415,7.07832674134061,1.01118953447723,18.9236898595024,4.18921378569138,0.433366943347384,524.374001450335,165,197,349,0.000245956622195722,0.000293657300439741,0.00050415021076079,116524,-16850,-102096
"1241","Plymouth","Massachusetts",135513,115369,131457,112681,15106,14258,39165,40219,0,28,47,56,66,75,216,40,47,54,507022,494919,22.5,16.2,51.4,86.3,10,1.5,3.6,8,92.1,33.5,35024,32.4,77.1,35220,75092,7.6,659.08,750.9,769.2874917,190,51,14,0,11,20,6,85,35,0,507050,0.812543142,0.751626863,0.76,2029,-0.48826799,0.17,0.22,0.13687,250882,244138,29364,79384,10.6504254253267,5.52244281313237,9.26981472204362,11.0448856262647,13.0171866309549,14.792257535176,42.6017017013068,7.88920401876053,9.26981472204362,37.4737190891125,10.0587351239197,2.76122140656618,0,2.16953110515915,3.94460200938026,1.18338060281408,16.7645585398661,6.90305351641546,0,400.179873851628,134,169,326,0.000270751375477603,0.000341470018326231,0.000642970127528983,101111,2688,-20144
"1242","Suffolk","Massachusetts",245751,50421,202148,55142,NA,NA,79314,58134,0,53,48,76,112,114,284,40,44,50,767254,722023,17.3,11,51.7,62.4,24.7,8.9,21.8,27.4,83.9,40.4,23808,29,35.5,32835,53540,20.8,58.15,12415.7,13194.39381,287,127,68,25,40,87,8,110,2,6,769809,0.987257878,0.658437095,0.64,5680,-0.089032947,-0.31,-0.18,0.091102,296172,257290,NA,137448,6.51674673576156,6.90775153990725,6.2560768663311,9.90545503835757,14.5975126881059,14.8581825575364,37.0151214591257,5.21339738860925,5.73473712747017,37.4061262632714,16.5525367088344,8.86277556063572,3.25837336788078,5.21339738860925,11.3391393202251,1.04267947772185,14.3368428186754,0.260669869430462,0.782009608291387,740.302429182513,205,206,410,0.000283924473320102,0.000285309470750932,0.000534373232332448,NA,-4721,-195330
"1243","Worcester","Massachusetts",198778,157682,201230,151742,40568,17155,53610,63745,0,79,71,97,109,119,245,58,95,76,813475,798552,22,14.1,50.7,87.5,5.3,4.7,10.5,11.3,89.4,33.8,53990,27.9,65.7,31537,65223,11.2,1510.77,528.6,538.4505914,370,94,30,3,16,55,14,105,44,3,814972,0.900644439,0.713116591,0.77,3383,-0.545503456,0.24,0.27,0.047278,356460,352972,57723,117355,9.34263499185593,9.71142321521866,8.72798795291804,11.9241525553951,13.399305448846,14.6285995267218,30.1177049079566,7.12990565167952,11.6782937398199,45.4838808814039,11.5553643320323,3.68788223362734,0.368788223362734,1.96687052460125,6.76111742831679,1.72101170902609,12.9075878176957,5.40889394265343,0.368788223362734,415.870186545376,246,285,418,0.000308057584227452,0.000356895981726926,0.000513844924552076,140527,5940,-41096
"1244","Alcona","Michigan",1732,4201,2896,3404,2462,3571,463,455,0,2,0,0,1,0,1,3,2,8,10454,10942,13.2,34.8,49.8,97.7,0.3,0.3,1.5,1.7,86.9,13,1702,21.7,89.8,22719,37189,15.1,674.59,16.2,15.49682029,8,1,0,0,1,0,1,0,6,0,10448,1.627105666,0.641850683,0.56,71,0.344119408,0.12,-0.08,0.678237,5933,6300,6033,918,76.5257317773101,19.1314329443275,0,0,9.56571647216377,0,9.56571647216377,28.6971494164913,19.1314329443275,76.5257317773101,9.56571647216377,0,0,9.56571647216377,0,9.56571647216377,0,57.3942988329826,0,679.165869523627,6,2,9,0.000548345823432645,0.000182781941144215,0.000860914482494739,630,797,2469
"1245","Alger","Michigan",1663,2585,2472,2188,2212,2329,384,622,0,0,2,3,1,0,3,2,3,1,9459,9601,15.4,23.7,45,85.5,6.9,0.5,1.3,1.4,89.4,17.1,1100,21.1,84.9,19717,37586,14.8,915.07,10.5,10.33691412,9,1,2,0,0,2,1,0,1,0,9452,1.692763436,0.629841789,0.51,59,0.275578171,0.03,-0.12,0.663094,4248,4660,4541,1006,10.5719420657575,0,21.143884131515,31.7158261972724,10.5719420657575,0,31.7158261972724,21.143884131515,31.7158261972724,95.1474785918173,10.5719420657575,21.143884131515,0,0,21.143884131515,10.5719420657575,0,10.5719420657575,0,623.744581879691,3,5,7,0.000312467451307156,0.000520779085511926,0.000740035944603024,256,397,922
"1246","Allegan","Michigan",18050,34183,23526,29526,19594,29023,3511,5569,0,6,16,12,13,7,17,14,16,15,113847,111408,24.9,15.1,50.1,95.2,1.4,0.8,7.1,3.2,90,20.2,7700,24.4,81.9,24140,52061,13.5,825.23,135,137.9579026,97,10,4,0,2,3,3,4,10,0,113743,1.169302726,0.657203522,0.8,386,-0.676226434,0.19,0.11,0.661865,52233,53052,48617,9080,13.1755777490843,5.27023109963372,14.0539495990233,10.5404621992674,11.4188340492064,6.14860294957267,14.9323214489622,12.2972058991453,14.0539495990233,85.2020694440785,8.78371849938953,3.51348739975581,0,1.75674369987791,2.63511554981686,2.63511554981686,3.51348739975581,8.78371849938953,0,339.051534076436,33,39,44,0.000296208530805687,0.000350064627315812,0.000386483613973139,5160,4657,16133
"1247","Alpena","Michigan",4877,9090,7705,7125,6549,7298,1102,1347,0,4,7,4,8,1,5,8,5,5,28988,29598,19.4,21.5,50.9,97.2,0.4,0.6,1.3,1.4,88,16,2800,16.4,77.6,21948,38016,17.3,571.86,51.8,50.6907285,29,6,2,0,0,9,1,3,1,0,28952,1.761536336,0.593310754,0.78,236,0.421846584,-0.04,-0.03,0.645004,13967,14830,13847,2449,17.24851662757,13.798813302056,24.147923278598,13.798813302056,27.597626604112,3.44970332551401,17.24851662757,27.597626604112,17.24851662757,100.041396439906,20.698219953084,6.89940665102801,0,0,31.0473299296261,3.44970332551401,10.349109976542,3.44970332551401,0,814.129984821305,20,13,14,0.000675721332522468,0.000439218866139604,0.000482958465571961,1792,1965,4213
"1248","Antrim","Michigan",4448,8469,6079,7506,5107,7917,867,1491,0,0,4,4,4,2,2,4,1,9,23267,23580,19,25.2,50.3,96.9,0.3,0.2,2,2,90.7,23.8,2378,24.5,85,24370,45362,15.4,475.7,49.6,48.91107841,23,3,2,0,0,0,0,0,2,0,23243,1.290711182,0.669219455,0.61,135,-0.033210703,-0.03,-0.11,0.624636,12917,13585,13024,2358,38.6813942493661,0,17.191730777496,17.191730777496,17.191730777496,8.59586538874801,8.59586538874801,17.191730777496,4.29793269437401,98.8524519706021,12.893798083122,8.59586538874801,0,0,0,0,0,8.59586538874801,0,580.220913740491,8,7,15,0.000339270568278202,0.000296861747243427,0.000644689904156101,552,963,4021
"1249","Arenac","Michigan",2384,4950,4155,3807,3669,4054,595,663,0,3,3,2,2,2,1,7,0,4,15353,15899,18.5,22.5,49.3,96.6,0.4,0.3,1.9,0.7,84.3,11.4,1519,27.1,83.8,20039,38874,18.1,363.19,43.8,42.27263967,9,2,1,0,0,1,0,1,3,0,15326,1.109226152,0.637220642,0.72,85,-0.411954035,0.17,0.01,0.614894,7334,7962,7723,1258,26.0535400247509,19.5401550185631,19.5401550185631,13.0267700123754,13.0267700123754,13.0267700123754,6.51338500618772,45.593695043314,0,58.6204650556894,13.0267700123754,6.51338500618772,0,0,6.51338500618772,0,6.51338500618772,19.5401550185631,0,553.637725525956,12,5,7,0.000754764450594377,0.000314485187747657,0.00045593695043314,896,1143,2566
"1250","Baraga","Michigan",1156,2158,1725,1846,1574,1866,270,371,0,2,0,2,1,1,3,1,4,2,8654,8860,19,19.1,45.1,73.6,7.8,0.4,1.4,2.5,82,12,835,16.3,79.3,17701,41189,13.2,898.26,9.9,9.63418164,5,3,1,0,0,1,0,0,1,0,8643,1.272706236,0.543275218,0.52,44,-0.660680999,0,-0.31,0.594718,3314,3571,3440,641,23.1107002542177,23.1107002542177,0,23.1107002542177,11.5553501271089,11.5553501271089,34.6660503813266,11.5553501271089,46.2214005084354,57.7767506355443,34.6660503813266,11.5553501271089,0,0,11.5553501271089,0,0,11.5553501271089,0,508.435405592789,4,5,7,0.000451467268623025,0.000564334085778781,0.00080887450889762,292,312,1002
"1251","Barry","Michigan",9114,19202,13449,16431,11496,16651,1736,3078,0,1,7,7,4,7,10,8,18,10,59281,59173,22.9,16.9,49.7,97.1,0.5,0.5,2.6,1.3,91.1,17.7,4802,26.8,83.5,25059,52186,11.7,553.09,107,107.1814714,42,9,1,0,0,6,1,2,5,0,59239,1.114130893,0.650053578,0.84,233,-0.676226434,0.22,-0.05,0.588653,28316,29880,28147,4814,16.8688112548709,1.68688112548709,11.8081678784096,11.8081678784096,6.74752450194835,11.8081678784096,16.8688112548709,13.4950490038967,30.3638602587676,70.8490072704576,15.1819301293838,1.68688112548709,0,0,10.1212867529225,1.68688112548709,3.37376225097417,8.43440562743544,0,393.043302238491,13,32,27,0.0002196947932334,0.000540787183343755,0.000455457903881513,2551,2771,10088
"1252","Bay","Michigan",21642,28328,32589,23794,26797,23735,5937,6363,0,13,12,8,22,27,30,15,8,20,106179,107771,21,18.3,50.7,94.9,1.7,0.7,5,1.4,89,18.2,8948,20.9,78.1,23799,45376,14.7,442.3,243.7,240.0610445,73,13,6,0,1,16,3,7,7,0,106256,1.185815389,0.664347675,0.84,442,-0.513705975,-0.1,0.08,0.584602,49970,56383,50532,12300,18.8361163695269,12.2434756401925,11.3016698217162,7.53444654781077,20.7197280064796,25.4287570988614,28.2541745542904,14.1270872771452,7.53444654781077,68.7518247487733,12.2434756401925,5.65083491085808,0,0.941805818476346,15.0688930956215,2.82541745542904,6.59264072933443,6.59264072933443,0,416.278171766545,50,47,58,0.000463946701802897,0.000436109899694723,0.000546247374716281,4593,4534,6686
"1253","Benzie","Michigan",4108,5539,5461,4687,4683,5071,853,1650,0,2,1,2,2,2,1,5,2,0,17519,17525,19.2,23.9,50.4,96,0.6,0.3,2.3,1.6,90.3,24.9,1955,25.2,83.9,24831,47366,13.3,319.7,54.8,54.79824836,19,2,1,0,1,0,0,0,4,0,17505,1.542416452,0.684195978,0.65,114,0.361784675,0.02,-0.28,0.575457,9647,10148,9754,2503,0,11.4161767224157,5.70808836120783,11.4161767224157,11.4161767224157,11.4161767224157,5.70808836120783,28.5404418060392,11.4161767224157,108.453678862949,11.4161767224157,5.70808836120783,0,5.70808836120783,0,0,0,22.8323534448313,0,650.722073177693,9,5,3,0.000513552068473609,0.000285306704707561,0.000171242650836235,468,852,1431
"1254","Berrien","Michigan",29495,38647,40376,36128,33465,38209,6698,5968,0,22,24,14,19,23,35,14,17,24,155233,156813,22.5,17.8,51.2,79.7,15.4,1.9,5.1,5.6,87.4,24.2,11674,19.8,72.1,24013,43633,17.5,567.75,276.2,273.4178776,132,20,4,1,2,11,3,13,11,0,155299,1.268520725,0.576943585,0.72,787,-0.60061909,-0.58,0.02,0.57378,68142,76504,71674,12666,15.4606301495172,14.1722443037241,15.4606301495172,9.01870092055169,12.2396655350344,14.8164372266206,22.5467523013792,9.01870092055169,10.9512796892413,85.0334658223445,12.883858457931,2.5767716915862,0.644192922896549,1.2883858457931,7.08612215186204,1.93257876868965,8.37450799765514,7.08612215186204,0,506.979830319584,55,64,73,0.000350736227226059,0.000408129428044869,0.000470260833714481,438,2519,9152
"1255","Branch","Michigan",5061,11786,8412,9534,6526,9575,1010,1246,0,9,4,2,6,7,7,7,8,9,43545,45248,23.7,16.6,48.4,95.2,2.2,0.6,4.3,2.6,86.4,13.4,3137,24.8,78,19947,41856,18.7,506.37,89.4,85.99443095,33,7,2,0,1,4,2,4,2,0,43668,1.259503527,0.537068939,0.8,230,-0.766672603,0.12,0.01,0.558215,16847,17946,16101,2256,20.6682741991044,20.6682741991044,9.18589964404639,4.59294982202319,13.7788494660696,16.0753243770812,16.0753243770812,16.0753243770812,18.3717992880928,75.7836720633827,16.0753243770812,4.59294982202319,0,2.2964749110116,9.18589964404639,4.59294982202319,9.18589964404639,4.59294982202319,0,528.189229532667,22,19,18,0.000486209335219236,0.000419908062234795,0.000413365483982087,2211,2252,6725
