"","county","state","clinton_16","trump_16","obama_08","mccain_08","obama_12","romney_12","clinton_primary","sanders_primary","miss_data","alcohol_08","alcohol_12","alcohol_16","drug_08","drug_12","drug_16","suicides_08","suicides_12","suicides_16","pop_2014","pop_2010","perc_under_18","perc_over_65","perc_females","perc_white","perc_black","perc_asian","perc_hisp","perc_immigrants","perc_high_school","perc_bachelors","perc_vets","commuting_time","perc_own_homes","per_cap_income","median_hh_income","perc_below_poverty","land_area","pop_density_2010","pop_density_2014","religious_14","civic_14","business_14","political_14","professsional_14","labor_14","bowling_14","recreation_14","golf_14","sports_14","pop_14","soc_cap_agg_14","voter_to_12","census_resp_10","non_profits_14","soc_cap_indx_14","hh_inc_change_p25","hh_inc_change_p75","diversity_idx_2016","total_votes_16","total_votes_08","total_votes_12","primary_total","suicides_16_scaled","alcohol_08_scaled","alcohol_12_scaled","alcohol_16_scaled","drug_08_scaled","drug_12_scaled","drug_16_scaled","suicides_08_scaled","suicides_12_scaled","religious_14_scaled","civic_14_scaled","business_14_scaled","political_14_scaled","professsional_14_scaled","labor_14_scaled","bowling_14_scaled","recreation_14_scaled","golf_14_scaled","sports_14_scaled","non_profits_14_scaled","total_mort_08","total_mort_12","total_mort_16","total_mort_08_scaled","total_mort_12_scaled","total_mort_16_scaled","trump_over_romney","trump_over_mccain","trump_over_hillary"
"21","Crenshaw","Alabama",1664,4513,1938,4316,2048,4326,908,107,0,0,1,2,0,0,0,0,5,1,13977,13906,22.7,18,51.1,72,24,1.8,1.7,2.3,76.7,12.7,1098,30.3,69.9,21343,36275,19.1,608.84,22.8,22.95677025,14,0,0,0,0,0,0,0,1,0,13948,1.075423,0.659887006,0.65,36,-0.836627062,0.31,0.45,0.498754,6177,6254,6374,1015,7.15461114688417,0,7.15461114688417,14.3092222937683,0,0,0,0,35.7730557344208,100.164556056378,0,0,0,0,0,0,0,7.15461114688417,0,257.56600128783,0,6,3,0,0.00043146843089314,0.000214638334406525,187,197,2849
"22","Cullman","Alabama",3798,32989,5855,28837,4855,27930,1275,725,0,5,6,18,11,13,20,15,9,19,81289,80406,22.5,17.6,50.5,96.2,1.4,0.5,4.4,3,79.8,14.8,6167,26.4,75,20760,38847,18.8,734.84,109.4,110.6213598,87,2,1,0,1,1,1,3,2,1,81221,1.218896591,0.661960499,0.76,198,-0.76313955,0.27,0.35,0.496912,36787,34692,32785,2000,23.3733961544612,6.15089372485822,7.38107246982987,22.1432174094896,13.5319661946881,15.9923236846314,24.6035748994329,18.4526811745747,11.0716087047448,107.025550812533,2.46035748994329,1.23017874497164,0,1.23017874497164,1.23017874497164,1.23017874497164,3.69053623491493,2.46035748994329,1.23017874497164,243.575391504386,31,28,57,0.000385543367410392,0.000348232718951322,0.000701201884633837,5059,4152,29191
"23","Dale","Alabama",4413,13808,5257,13873,5283,13105,1544,415,0,6,1,4,3,4,6,1,4,7,49484,50251,23.6,15.4,50.5,75.2,19.7,1.3,6.1,3.7,84.1,17,6730,20.9,61.1,22685,44889,17.4,561.15,89.6,88.18319522,49,3,2,0,0,4,0,2,1,0,49501,1.232298337,0.58117228,0.6,120,-1.030238392,-0.02,0.13,0.492293,18221,19130,18388,1959,14.1459865815213,12.1251313555897,2.02085522593161,8.08342090372646,6.06256567779484,8.08342090372646,12.1251313555897,2.02085522593161,8.08342090372646,99.0219060706491,6.06256567779484,4.04171045186323,0,0,8.08342090372646,0,4.04171045186323,2.02085522593161,0,242.502627111794,10,9,17,0.000199001014905176,0.000179100913414658,0.000343545388408374,703,-65,9395
"24","Dallas","Alabama",12836,5789,13958,6791,14599,6284,8581,1774,0,3,3,5,2,2,2,3,0,4,41711,43820,25.2,15.6,53.7,29,69.5,0.5,1,0.8,77.5,14.2,2897,22,60.9,17245,26519,35.5,978.7,44.8,42.61878001,49,4,2,0,0,2,0,2,1,0,41662,1.440161298,0.635099518,0.63,237,-0.067128016,-0.61,-0.06,0.491441,18625,20749,20883,10355,9.58979645657021,7.19234734242766,7.19234734242766,11.9872455707128,4.7948982282851,4.7948982282851,4.7948982282851,7.19234734242766,0,117.475006592985,9.58979645657021,4.7948982282851,0,0,4.7948982282851,0,4.7948982282851,2.39744911414255,0,568.195440051785,8,5,11,0.000182565038795071,0.000114103149246919,0.000263719402555681,-495,-1002,-7047
"25","DeKalb","Alabama",3622,21405,5654,17951,5235,18316,1297,668,0,3,3,5,12,16,19,10,15,10,71065,71109,24.7,15.7,50.7,92.4,2.1,0.4,14.2,7.5,70.6,10.7,4371,23.3,76.3,18149,37851,19.9,777.09,91.5,91.45015378,50,2,2,0,0,3,0,3,1,0,71012,0.859009745,0.626586087,0.7,161,-1.240101768,0.36,0.18,0.482254,25027,23605,23551,1965,14.0716245690565,4.22148737071695,4.22148737071695,7.03581228452825,16.8859494828678,22.5145993104904,26.7360866812073,14.0716245690565,21.1074368535847,70.3581228452825,2.8143249138113,2.8143249138113,0,0,4.22148737071695,0,4.22148737071695,1.40716245690565,0,226.55315556181,25,34,34,0.000351572937321577,0.000478139194757344,0.000478435235347921,3089,3454,17783
"26","Elmore","Alabama",8443,27634,8268,25695,8940,26223,3176,743,0,2,3,8,9,3,9,9,8,21,80977,79303,23,14,51.5,76,21.2,0.7,2.7,2.1,86.6,21,8364,28.2,75.5,23856,54766,13.4,618.49,128.2,130.926935,70,2,5,0,0,1,0,4,2,0,81022,1.036755449,0.72744761,0.78,238,-0.577300937,0,0.17,0.457992,36077,33963,35163,3919,25.9332896995443,2.46983711424232,3.70475567136347,9.87934845696926,11.1142670140904,3.70475567136347,11.1142670140904,11.1142670140904,9.87934845696926,86.444298998481,2.46983711424232,6.17459278560579,0,0,1.23491855712116,0,4.93967422848463,2.46983711424232,0,293.910616594836,20,14,38,0.00025219726870358,0.000176538088092506,0.00046926905170604,1411,1939,19191
"27","Escambia","Alabama",4605,9935,5176,9365,5476,9263,2027,226,0,5,4,8,4,10,11,4,5,10,37733,38319,22,16.7,48.8,62.2,32.4,0.3,2.1,0.6,76.2,11.7,2995,23.5,72.5,16540,30687,25.4,945.08,40.5,39.92572057,49,1,2,0,0,1,0,2,1,0,37784,1.482108829,0.648467433,0.7,160,-0.250846796,-0.09,0.16,0.45543,14540,14541,14739,2253,26.502000901068,13.251000450534,10.6008003604272,21.2016007208544,10.6008003604272,26.502000901068,29.1522009911748,10.6008003604272,13.251000450534,129.859804415233,2.6502000901068,5.30040018021361,0,0,2.6502000901068,0,5.30040018021361,2.6502000901068,0,424.032014417088,13,19,29,0.000339257287507503,0.000495837574049427,0.000768558026130973,672,570,5330
"28","Etowah","Alabama",10442,32353,13480,30562,12792,29102,4302,1308,0,5,2,8,20,10,18,20,8,17,103531,104430,22.1,17.3,51.6,81.2,15.5,0.8,3.7,2.2,81.8,14.8,8638,23.9,72.4,20204,38013,19,534.99,195.2,193.519505,132,5,5,0,1,11,1,9,4,0,103452,1.623941538,0.646062903,0.76,343,-0.313028537,-0.2,0.16,0.451731,42795,44042,41894,5610,16.4202026446185,4.82947136606427,1.93178854642571,7.72715418570283,19.3178854642571,9.65894273212854,17.3860969178314,19.3178854642571,7.72715418570283,127.498044064097,4.82947136606427,4.82947136606427,0,0.965894273212854,10.6248370053414,0.965894273212854,8.69304845891569,3.86357709285142,0,331.301735712009,45,20,43,0.000430910657856938,0.000191515847936417,0.000415334537481527,3251,1791,21911
"29","Fayette","Alabama",1362,6712,1988,5875,1803,6034,662,148,0,3,1,4,4,4,5,4,1,6,16874,17241,21.7,19.6,50.5,86.2,11.9,0.3,1.4,0.6,74.9,13.2,1221,27.5,74.9,18494,33838,19.9,627.66,27.5,26.88398177,15,0,1,0,0,2,0,0,1,0,16842,1.128132051,0.693084828,0.78,55,-0.58012738,0.12,0.6,0.446872,8074,7863,7837,810,35.5576626763067,17.7788313381534,5.92627711271779,23.7051084508712,23.7051084508712,23.7051084508712,29.631385563589,23.7051084508712,5.92627711271779,88.8941566907669,0,5.92627711271779,0,0,11.8525542254356,0,0,5.92627711271779,0,325.945241199479,11,6,15,0.000638014036308799,0.000348007656168436,0.000888941566907669,678,837,5350
"30","Franklin","Alabama",2197,9466,3469,8048,3171,7567,1234,767,0,1,1,2,4,6,6,5,9,5,31601,31704,24.3,15.9,50.3,91.9,4.6,0.4,16.1,8.4,72.5,11,1860,26.2,69.5,18888,36415,21.9,633.82,50,49.85800385,26,0,2,0,0,1,0,3,1,0,31592,1.044568245,0.523628489,0.72,76,-1.481762626,0.21,0.21,0.436062,11663,11517,10738,2001,15.8222841049334,3.16445682098668,3.16445682098668,6.32891364197336,12.6578272839467,18.9867409259201,18.9867409259201,15.8222841049334,28.4801113888801,82.2758773456536,0,6.32891364197336,0,0,3.16445682098668,0,9.49337046296003,3.16445682098668,0,240.498718394988,10,16,13,0.000315417612919505,0.000504668180671209,0.000411379386728268,1899,1418,7269
