county,state,Religious2014,Civic2014,Business2014,Political2014,Professional2014,Labor2014,Bowling2014,Recreational2014,Golf2014,Sports2014,pop2014,assn2014,pvote2012,respn2010,nccs2014,sk2014
Grays Harbor , WA,51,16,6,0,0,2,4,6,5,0,70836,1.270540403,0.748792649,0.74,425,0.2642724
Wilkes , GA,10,0,2,0,0,0,0,1,1,0,9923,1.41086365,0.771012146,0.79,48,0.262859178
Codington , SD,27,8,4,0,1,3,2,6,3,0,27960,1.931330472,0.620470576,0.81,161,0.261445957
Skagit , WA,80,15,12,0,2,3,2,13,5,0,120325,1.09702888,0.815549883,0.78,647,0.261445957
McPherson , NE,0,0,0,0,0,0,0,0,0,0,501,0,0.763779528,0.62,6,0.260739346
Dickinson , MI,27,2,1,0,0,7,1,6,4,0,25947,1.849924847,0.595094305,0.74,172,0.259326125
Fulton , PA,21,3,2,0,0,0,0,0,1,0,14615,1.847417037,0.662992295,0.76,74,0.259326125
Wilkinson , GA,11,0,1,0,0,1,0,0,0,0,9344,1.391267123,0.814869072,0.73,35,0.258619514
Caldwell , KY,19,3,2,0,0,1,1,0,1,0,12744,2.118644068,0.596802118,0.85,69,0.258619514
Yamhill , OR,85,4,5,1,2,3,1,8,2,1,101683,1.101462388,0.828112636,0.78,511,0.256499682
Kearny , KS,6,0,1,0,0,0,0,0,0,0,3941,1.776198934,0.624324324,0.64,24,0.255793071
Lake , MT,21,4,2,0,0,0,2,1,1,0,29204,1.061498425,0.712587038,0.36,208,0.255086461
Saline , NE,14,2,2,0,1,0,0,1,2,0,14338,1.534384154,0.621069773,0.8,111,0.25437985
McDonough , IL,34,6,2,0,0,1,2,3,4,0,31591,1.646038429,0.650203613,0.75,201,0.253673239
Putnam , GA,17,3,3,0,0,0,0,4,0,0,21173,1.275208993,0.816178423,0.67,88,0.252260018
Bourbon , KS,22,4,2,0,0,1,0,0,0,0,14776,1.962642122,0.568752274,0.71,97,0.251553407
Milam , TX,27,3,7,0,0,2,0,0,2,0,24254,1.690442814,0.56692154,0.68,193,0.250846796
Mitchell , NC,28,1,2,0,0,0,0,0,1,0,15330,2.087410307,0.661357636,0.75,58,0.250140186
Berkshire , MA,65,24,11,1,2,9,5,14,15,1,128565,1.143390503,0.711828859,0.74,958,0.248726964
Colfax , NE,16,1,2,0,0,0,0,0,2,0,10546,1.991276313,0.596617418,0.78,62,0.248726964
Morgan , OH,15,4,0,0,0,0,0,1,0,0,14792,1.352082207,0.709621396,0.58,90,0.246607132
Gibson , IN,45,8,2,0,0,1,2,2,2,0,33845,1.831880632,0.63177546,0.78,198,0.245900522
Ohio , IN,6,1,1,0,0,0,0,1,1,0,6008,1.664447403,0.620515078,0.78,42,0.245900522
Brookings , SD,35,8,4,0,1,0,1,5,3,0,33394,1.706893454,0.583749176,0.81,257,0.243780689
Oscoda , MI,9,3,0,0,0,0,1,1,3,0,8350,2.035928144,0.594411765,0.82,48,0.243074079
Montgomery , MO,17,0,0,0,0,0,0,2,1,0,11816,1.692620176,0.644993341,0.71,72,0.241660857
Coshocton , OH,35,7,1,1,0,3,1,2,3,0,36568,1.449354627,0.702069765,0.83,228,0.240954247
Linn , OR,94,12,6,0,1,9,3,10,3,0,119269,1.157048353,0.811660538,0.78,601,0.240954247
Richmond city, VA,212,24,28,8,18,19,0,22,2,2,216910,1.544419344,0.653606103,0.71,1442,0.240247636
Harrison , OH,19,2,2,0,0,1,1,0,1,0,15567,1.670199782,0.668382628,0.72,88,0.238127804
Montgomery , IL,29,6,2,0,0,3,2,1,2,0,29058,1.548626884,0.661415177,0.8,192,0.237421193
Kay , OK,55,6,6,0,1,3,2,1,1,0,45510,1.647989453,0.624047057,0.77,315,0.237421193
Delaware , NY,39,9,1,0,0,3,4,1,7,0,46597,1.373478979,0.630919739,0.51,356,0.235301361
Adams , WA,17,3,3,0,0,1,1,1,1,0,19194,1.40668959,0.742295184,0.73,101,0.235301361
Dodge , NE,36,7,3,1,0,2,3,1,3,0,36725,1.524846835,0.679545455,0.81,231,0.232474918
Forest , PA,6,2,0,0,0,0,0,0,1,0,7515,1.19760479,0.715346535,0.25,45,0.231061697
Custer , OK,46,5,2,0,2,0,1,3,0,0,29587,1.994119039,0.616085454,0.67,150,0.230355086
Oconto , WI,26,0,1,0,0,1,1,5,6,0,37498,1.066723559,0.842482606,0.85,182,0.230355086
Washington , WI,80,6,8,2,1,5,5,21,12,0,133301,1.050254687,0.873251932,0.87,566,0.230355086
Huntington , IN,43,8,2,0,0,3,2,4,3,0,36686,1.771793055,0.624876135,0.79,229,0.227528643
Mahnomen , MN,3,1,0,0,0,0,0,0,1,0,5525,0.904977376,0.727818546,0.81,46,0.226822033
Mercer , PA,120,39,5,0,3,4,3,8,11,0,114957,1.678888628,0.676028071,0.83,639,0.222582369
Logan , IL,34,7,2,0,1,3,2,2,1,0,29720,1.749663526,0.619023163,0.82,194,0.221875758
Winnebago , WI,103,9,5,2,0,31,9,14,15,0,169639,1.108235724,0.848603947,0.85,752,0.220462537
Blue Earth , MN,53,10,4,1,2,3,1,9,3,1,65497,1.328305113,0.728366202,0.8,396,0.218342704
Douglas , OR,90,7,3,0,2,3,2,7,3,1,106998,1.102824352,0.795803905,0.75,589,0.218342704
Silver Bow , MT,13,3,3,0,0,7,1,6,2,0,34730,1.007774259,0.708439033,0.76,281,0.216222872
Union , IL,19,3,2,0,0,0,1,0,1,0,17471,1.488180413,0.691896408,0.8,106,0.215516262
Chippewa , WI,46,4,4,0,0,5,1,8,6,0,63408,1.167045168,0.813914325,0.87,315,0.215516262
Kimball , NE,4,0,1,0,0,0,1,0,0,0,3690,1.62601626,0.552028796,0.66,31,0.214809651
Rutherford , NC,127,1,3,0,1,0,1,4,3,0,66537,2.10409246,0.65367009,0.79,250,0.214809651
Greenwood , SC,82,7,4,0,1,2,1,4,6,0,69544,1.538594271,0.71139341,0.73,361,0.21410304
Wood , WV,95,29,4,1,1,16,2,13,6,0,86441,1.931953587,0.617177,0.78,475,0.21410304
Stevens , WA,33,3,2,0,2,0,1,3,2,0,43556,1.056111672,0.781362386,0.76,265,0.21339643
Isanti , MN,34,3,1,1,0,0,1,4,4,0,38394,1.250195343,0.796886086,0.83,186,0.212689819
Fayette , IL,32,4,1,0,0,1,0,2,2,0,21993,1.90969854,0.59520966,0.75,133,0.209156765
Lamoille , VT,12,2,1,1,0,1,0,5,2,0,25143,0.954540031,0.673823844,0.62,223,0.209156765
Jefferson , FL,11,0,2,0,0,0,0,0,1,0,14035,0.997506234,0.820426605,0.58,71,0.207743544
Lycoming , PA,128,40,6,1,1,7,4,4,1,1,116503,1.656609701,0.683077692,0.79,621,0.206330323
Clay , GA,3,0,1,0,0,0,0,0,0,0,3097,1.29157249,0.790750141,0.41,12,0.204917101
Ashley , AR,24,1,4,0,0,3,1,0,1,0,20926,1.62477301,0.722521208,0.65,89,0.20350388
Montgomery , AL,194,26,41,8,36,12,1,19,4,1,226389,1.510674105,0.658076454,0.74,1486,0.202797269
Marshall , KY,45,3,2,0,0,7,0,4,2,0,31047,2.029181563,0.653841354,0.83,129,0.202797269
Sullivan , NH,23,8,2,0,0,0,1,2,2,0,43105,0.881568264,0.809767494,0.62,257,0.202090659
Wheeler , NE,1,0,0,0,0,0,0,0,0,0,765,1.307189542,0.685015291,0.53,5,0.200677437
Milwaukee , WI,483,79,38,8,21,93,19,89,10,8,957913,0.885257847,0.851315057,0.74,4971,0.200677437
