county,state,Obama_08,McCain_08
Fremont,Colorado,"6,801","12,595"
Garfield,Colorado,"10,847","10,932"
Gilpin,Colorado,"1,944","1,249"
Grand,Colorado,"3,961","4,088"
Gunnison,Colorado,"5,512","3,112"
Hinsdale,Colorado,239,343
Huerfano,Colorado,"1,989","1,582"
Jackson,Colorado,277,624
Jefferson,Colorado,"155,020","129,291"
Kiowa,Colorado,172,630
KitCarson,Colorado,898,"2,420"
LaPlata,Colorado,"15,422","11,170"
Lake,Colorado,"1,847","1,076"
Larimer,Colorado,"84,461","68,932"
LasAnimas,Colorado,"3,483","3,033"
Lincoln,Colorado,543,"1,683"
Logan,Colorado,"2,837","5,986"
Mesa,Colorado,"23,470","43,669"
Mineral,Colorado,270,334
Moffat,Colorado,"1,566","4,101"
Montezuma,Colorado,"4,619","6,913"
Montrose,Colorado,"6,115","11,525"
Morgan,Colorado,"3,762","6,222"
Otero,Colorado,"3,454","4,324"
Ouray,Colorado,"1,629","1,360"
Park,Colorado,"4,196","4,835"
Phillips,Colorado,587,"1,513"
Pitkin,Colorado,"7,260","2,448"
Prowers,Colorado,"1,464","3,026"
Pueblo,Colorado,"38,074","28,523"
RioBlanco,Colorado,654,"2,425"
RioGrande,Colorado,"2,427","2,916"
Routt,Colorado,"8,133","4,634"
Saguache,Colorado,"1,620",913
SanJuan,Colorado,264,218
SanMiguel,Colorado,"3,345",930
Sedgwick,Colorado,468,857
Summit,Colorado,"9,700","4,845"
Teller,Colorado,"4,370","7,939"
Washington,Colorado,518,"1,935"
Weld,Colorado,"46,644","55,913"
Yuma,Colorado,"1,105","3,238"
Fairfield,Connecticut,"232,339","160,890"
Hartford,Connecticut,"265,282","138,466"
Litchfield,Connecticut,"44,731","40,336"
Middlesex,Connecticut,"53,008","32,917"
NewHaven,Connecticut,"231,077","143,297"
NewLondon,Connecticut,"73,638","47,842"
Tolland,Connecticut,"44,874","29,543"
Windham,Connecticut,"28,353","21,293"
Kent,Delaware,"36,383","29,822"
NewCastle,Delaware,"178,712","74,595"
Sussex,Delaware,"40,299","47,939"
Alachua,Florida,"73,134","47,025"
Baker,Florida,"2,326","8,672"
Bay,Florida,"23,603","56,597"
Bradford,Florida,"3,430","8,135"
Brevard,Florida,"127,400","157,402"
Broward,Florida,"487,638","234,690"
Calhoun,Florida,"1,821","4,344"
Charlotte,Florida,"39,006","45,180"
Citrus,Florida,"31,428","43,666"
Clay,Florida,"26,635","66,847"
Collier,Florida,"52,710","83,238"
Columbia,Florida,"9,171","18,668"
DeSoto,Florida,"4,378","5,625"
Dixie,Florida,"1,921","5,188"
Duval,Florida,"192,173","197,171"
Escambia,Florida,"61,152","90,826"
Flagler,Florida,"24,682","23,931"
Franklin,Florida,"2,122","3,799"
Gadsden,Florida,"15,566","6,805"
Gilchrist,Florida,"1,993","5,654"
Glades,Florida,"1,674","2,533"
Gulf,Florida,"2,144","4,971"
Hamilton,Florida,"2,360","3,179"
Hardee,Florida,"2,561","4,758"
Hendry,Florida,"4,998","5,779"
Hernando,Florida,"18,980","25,220"
Highlands,Florida,"17,913","25,903"
Hillsborough,Florida,"219,580","209,503"
Holmes,Florida,"1,443","7,023"
IndianRiver,Florida,"29,565","39,972"
Jackson,Florida,"7,632","13,695"
Jefferson,Florida,"4,082","3,794"
Lafayette,Florida,640,"2,677"
Lake,Florida,"62,710","82,512"
Lee,Florida,"117,878","145,624"
Leon,Florida,"91,356","55,521"
Levy,Florida,"6,707","11,751"
Liberty,Florida,892,"2,337"
Madison,Florida,"4,270","4,544"
Manatee,Florida,"67,785","78,040"
Marion,Florida,"70,771","89,571"
Martin,Florida,"33,474","44,110"
Miami-Dade,Florida,"491,195","351,462"
Monroe,Florida,"20,868","18,906"
Nassau,Florida,"10,577","27,326"
Okaloosa,Florida,"25,623","68,181"
Okeechobee,Florida,"5,102","7,551"
Orange,Florida,"271,866","186,079"
