county,state,Household_income_change_p25,Household_income_change_p75
Aransas,TX,0.22,0.05
Brooks,TX,0.26,0.1
Duval,TX,0.61,0.23
Jim Wells,TX,0.39,-0.04
Kleberg,TX,0.02,-0.14
Nueces,TX,0.08,0.08
Refugio,TX,0.24,-0.01
San Patricio,TX,0.28,0.15
Brazos,TX,-0.42,0
Burleson,TX,0.1,0.33
Grimes,TX,-0.01,0.22
Robertson,TX,0.01,0.27
Brazoria,TX,0.23,0.08
Matagorda,TX,0.44,0.07
Wharton,TX,0.15,0.3
Austin,TX,0.43,0.31
Chambers,TX,0.22,0.17
Fort Bend,TX,0.22,-0.01
Galveston,TX,-0.42,-0.13
Harris,TX,0.03,0.15
Liberty,TX,0.17,0.24
Montgomery,TX,-0.07,-0.19
San Jacinto,TX,0.16,0.15
Waller,TX,0,0.3
Washington,TX,-0.1,0.32
Hardin,TX,0.51,0.26
Jasper,TX,0.23,0.22
Jefferson,TX,0,0.12
Newton,TX,0.21,0.25
Orange,TX,0.36,0.17
Polk,TX,0.2,0.16
Tyler,TX,0.3,0.35
Angelina,TX,-0.02,0.1
Houston,TX,-0.21,0.15
Madison,TX,-0.19,0.3
Trinity,TX,0.05,0.37
Walker,TX,-0.17,0.09
Nacogdoches,TX,-0.02,0.08
Sabine,TX,0.54,0.26
San Augustine,TX,-0.13,0.27
Shelby,TX,0.39,0.51
Tom Green,TX,-0.17,-0.07
McCulloch,TX,0.25,0.45
Runnels,TX,0.51,0.47
Uvalde,TX,0,0.16
Val Verde,TX,0.25,-0.09
Maverick,TX,0.19,-0.19
Dawson,TX,0.24,0.39
Howard,TX,0.4,0.34
Reagan,TX,1.54,0.65
Nolan,TX,0.4,0.35
Mitchell,TX,0.99,0.35
Scurry,TX,0.88,0.32
Callahan,TX,0.72,0.32
Eastland,TX,0.63,0.24
Jones,TX,0.82,0.35
Stephens,TX,0.49,0.22
Taylor,TX,0.37,0.35
Childress,TX,0.44,0.44
Haskell,TX,0.73,0.29
Archer,TX,1.27,0.58
Clay,TX,0.52,0.15
Wichita,TX,0.11,0.07
Jack,TX,1.47,0.51
Young,TX,0.79,0.44
Hardeman,TX,0.38,0.11
Wilbarger,TX,0.19,0.25
Brown,TX,0.17,0.12
Coleman,TX,0.25,0.18
San Saba,TX,0.32,0.15
Comanche,TX,0.57,0.45
Erath,TX,0.62,0.24
Hamilton,TX,0.63,0.4
Bosque,TX,0.51,0.32
Falls,TX,-0.16,0.21
Hill,TX,0.55,0.37
McLennan,TX,-0.29,0
Freestone,TX,0.43,0.49
Leon,TX,0.42,0.39
Limestone,TX,0.22,0.18
Navarro,TX,-0.08,0.19
Bell,TX,-0.22,-0.03
Coryell,TX,0.11,0.07
Lampasas,TX,0.43,0.1
Hood,TX,0.46,0.17
Johnson,TX,0.77,0.22
Montague,TX,1.09,0.57
Palo Pinto,TX,0.44,0.34
Parker,TX,0.55,0.18
Somervell,TX,0.74,0.42
Tarrant,TX,0.02,0.03
Wise,TX,0.67,0.23
Collin,TX,0.22,-0.23
Cooke,TX,0.81,0.54
Dallas,TX,-0.24,0.09
Denton,TX,0.29,-0.15
Ellis,TX,0.29,0.23
Kaufman,TX,-0.03,0.23
Rockwall,TX,0.51,0.01
Hopkins,TX,0.38,0.29
Hunt,TX,-0.06,0.13
Lamar,TX,-0.16,0.19
Rains,TX,0.39,0.18
Red River,TX,-0.06,0.45
Anderson,TX,0.08,0.18
Cherokee,TX,0.23,0.38
Henderson,TX,0.13,0.1
Smith,TX,0.2,0.13
Van Zandt,TX,0.55,0.15
Wood,TX,0.62,0.21
Gregg,TX,-0.05,0.1
Harrison,TX,0.15,0.29
Marion,TX,0.1,0.41
Panola,TX,0.52,0.47
Rusk,TX,0.33,0.41
Upshur,TX,0.56,0.21
Bowie,TX,-0.15,0.12
Camp,TX,0.21,0.26
Cass,TX,0.33,0.24
Franklin,TX,0.11,0.41
Morris,TX,0.05,0.16
Titus,TX,0.18,0.09
Fannin,TX,0.39,0.25
Grayson,TX,0.09,0.06
Kane,UT,0.99,0.14
San Juan,UT,0.75,0.17
Beaver,UT,1.32,0.22
Iron,UT,0.44,0.11
Washington,UT,0.48,0.07
Carbon,UT,0.73,0.18
Emery,UT,1.28,0.39
Sanpete,UT,0.84,0.3
Grand,UT,0.88,0.19
Garfield,UT,0.98,0.4
Sevier,UT,0.86,0.26
Juab,UT,1.02,0.31
Millard,UT,1.02,0.33
Utah,UT,0.77,0.12
Davis,UT,0.72,0.21
Morgan,UT,1.52,0.39
Salt Lake,UT,0.31,0.03
Summit,UT,1.28,0.05
Tooele,UT,0.68,0.16
Wasatch,UT,0.91,0.21
Weber,UT,0.52,0.32
Box Elder,UT,1.01,0.2
Cache,UT,0.75,0.05
Duchesne,UT,1.66,0.59
Uintah,UT,1.24,0.72
Addison,VT,0.36,-0.11
Chittenden,VT,-0.1,-0.17
Franklin,VT,0.32,0.08
Grand Isle,VT,0.16,0.03
Lamoille,VT,0.04,-0.03
Rutland,VT,0.26,0.04
Caledonia,VT,0.22,0
Essex,VT,0.34,0.18
Orleans,VT,0.25,0.15
Orange,VT,0.38,0.1
Washington,VT,0.35,-0.08
Windsor,VT,0.35,-0.03
Windham,VT,0.26,-0.2
Bennington,VT,0,-0.08
Scott,VA,0.39,0.32
Smyth,VA,-0.11,0.11
Washington,VA,0.03,-0.19
Bristol City,VA,-0.19,-0.04
Henry,VA,-0.12,0.23
Patrick,VA,0.17,0.42
Martinsville City,VA,-0.67,-0.01
Pittsylvania,VA,-0.04,0.22
Danville City,VA,-0.64,-0.03
Carroll,VA,0.09,0.29
Grayson,VA,0.31,0.24
Galax City,VA,0.17,0.19
Chesapeake City,VA,-0.18,0.16
Norfolk City,VA,-0.65,0.07
Portsmouth City,VA,-0.75,-0.14
Suffolk City,VA,-0.53,0.04
Virginia Beach City,VA,-0.01,-0.09
Brunswick,VA,-0.33,0.15
Charlotte,VA,0.12,0.18
Cumberland,VA,-0.23,-0.03
Halifax,VA,-0.41,0.15
Lunenburg,VA,-0.37,0.42
Mecklenburg,VA,-0.37,0.26
Nottoway,VA,-0.27,0.19
Prince Edward,VA,-0.34,0.16
Amherst,VA,0.14,0.17
Appomattox,VA,-0.42,0.36
Bedford,VA,0.17,0.26
Campbell,VA,-0.03,0.13
Bedford City,VA,-0.23,0.28
Lynchburg City,VA,-0.54,0.03
Amelia,VA,0.08,0.24
Chesterfield,VA,0.33,0.01
Dinwiddie,VA,-0.18,0.27
Goochland,VA,-0.04,0.21
Hanover,VA,0.43,0.19
Henrico,VA,-0.13,0.08
King And Queen,VA,0.14,0.31
King William,VA,0.1,0.08
New Kent,VA,0.55,-0.02
Powhatan,VA,0.29,0.03
Prince George,VA,0.44,0.21
Sussex,VA,-0.27,0.08
Colonial Heights City,VA,0.38,0.29
Hopewell City,VA,-0.38,0.08
Petersburg City,VA,-0.76,-0.15
Richmond City,VA,-0.92,-0.37
Gloucester,VA,0.04,-0.1
Isle Of Wight,VA,0.04,0.12
James City,VA,-0.16,0.06
Mathews,VA,0.02,0.16
Middlesex,VA,0.03,0.08
Southampton,VA,-0.27,0.29
Surry,VA,0.06,0.29
York,VA,0.13,0.07
Franklin City,VA,-0.6,-0.05
Hampton City,VA,-0.23,-0.17
Newport News City,VA,-0.46,-0.11
Poquoson City,VA,0.95,0.14
Emporia City,VA,-0.61,0.3
Bland,VA,0.4,0.2
Buchanan,VA,0.76,0.34
Russell,VA,0.68,0.31
Tazewell,VA,0.37,0.18
Wythe,VA,0.12,0.22
Dickenson,VA,0.89,0.45
Lee,VA,0.05,0.15
Wise,VA,0.17,0.18
Norton City,VA,0.28,-0.19
Caroline,VA,-0.41,0.02
King George,VA,-0.11,0.1
Spotsylvania,VA,0.19,0.02
Stafford,VA,0.48,0.37
Fredericksburg City,VA,0.05,-0.31
Essex,VA,-0.24,0.04
Lancaster,VA,-0.27,-0.13
Northumberland,VA,-0.38,0.18
Richmond,VA,-0.03,0.16
Westmoreland,VA,-0.29,0.03
Arlington,VA,0.57,0.14
Fairfax,VA,0.75,0.55
Fauquier,VA,0.35,0.18
Loudoun,VA,0.62,0.32
Prince William,VA,0.11,0.07
Rappahannock,VA,0.78,0.14
Warren,VA,0.39,0.12
Alexandria City,VA,0.25,-0.06
Fairfax City,VA,1.06,0.35
Falls Church City,VA,0.69,-0.16
Manassas City,VA,0.23,0.17
Manassas Park City,VA,0.77,0.28
Botetourt,VA,0.46,0.12
Floyd,VA,0.48,0.46
Franklin,VA,0.1,0.08
Giles,VA,0.18,0.13
Montgomery,VA,0.2,-0.12
Pulaski,VA,-0.4,0.05
Roanoke,VA,0.46,0.18
Radford City,VA,-0.43,-0.09
Roanoke City,VA,-0.89,-0.04
Salem City,VA,0.21,0.16
Page,VA,0.27,0.26
Rockingham,VA,0.47,0.11
Shenandoah,VA,0.52,0.2
Harrisonburg City,VA,0.43,-0.05
Augusta,VA,0.37,0.27
Bath,VA,0.34,0.33
Nelson,VA,0.08,0.08
Rockbridge,VA,0.28,0.07
Buena Vista City,VA,0.05,0.25
Clifton Forge City,VA,0.16,0.34
Covington City,VA,0.19,0.19
Lexington City,VA,0.2,0.04
Staunton City,VA,-0.19,0.02
Waynesboro City,VA,-0.01,0.07
Clarke,VA,0.53,0.09
Frederick,VA,0.33,0.13
Winchester City,VA,0.05,-0.04
Albemarle,VA,0.07,-0.21
Buckingham,VA,-0.37,0.4
Culpeper,VA,-0.17,0.05
Fluvanna,VA,-0.05,-0.04
Greene,VA,-0.16,0.05
Louisa,VA,-0.11,0.13
Madison,VA,0.31,0.21
Orange,VA,0.23,0.07
Charlottesville City,VA,-0.61,-0.41
Accomack,VA,-0.38,0.07
Northampton,VA,-0.67,-0.09
Asotin,WA,0.17,0.13
Whitman,WA,0.85,0.07
Adams,WA,0.75,0.32
Grant,WA,0.43,0.1
Chelan,WA,0.31,-0.11
Douglas,WA,0.32,0.08
Lincoln,WA,0.56,0.34
Pend Oreille,WA,0.26,0.26
Spokane,WA,0.16,0.05
Ferry,WA,-0.06,0.02
Okanogan,WA,0.07,-0.05
Stevens,WA,0.25,0.04
Cowlitz,WA,-0.02,-0.03
Grays Harbor,WA,-0.03,0.04
Pacific,WA,0.15,0.21
Clark,WA,0.17,-0.13
Skamania,WA,-0.17,0.06
Klickitat,WA,0.2,0.08
Kittitas,WA,0.27,0.15
Yakima,WA,0.14,0.03
Benton,WA,0.26,-0.17
Franklin,WA,0.39,-0.03
Walla Walla,WA,0.25,-0.07
San Juan,WA,0.02,-0.36
Whatcom,WA,0.29,0.1
Clallam,WA,0.15,-0.03
Jefferson,WA,0.12,-0.19
Island,WA,0.3,-0.22
King,WA,0.47,0.16
Kitsap,WA,0.37,-0.05
Lewis,WA,0.35,0.12
Mason,WA,0.21,0
Pierce,WA,0.1,-0.05
Skagit,WA,0.23,-0.02
Snohomish,WA,0.7,0.12
Thurston,WA,0.13,-0.2
Mercer,WV,-0.17,-0.03
McDowell,WV,0.13,-0.03
Wyoming,WV,0.74,0.27
Jackson,WV,0.03,0.22
Pleasants,WV,0.82,0.16
Ritchie,WV,0.08,0.4
Wirt,WV,0.14,0.28
Wood,WV,-0.18,-0.1
Brooke,WV,0,0.15
Hancock,WV,-0.15,-0.03
Marshall,WV,0.3,0.08
Ohio,WV,-0.1,-0.03
Tyler,WV,0.32,0.15
Wetzel,WV,0.12,0.14
Mason,WV,0.15,0.06
Monroe,WV,0.42,0.19
Barbour,WV,0.46,0.17
Pocahontas,WV,0.08,-0.01
Randolph,WV,0.06,0.07
Tucker,WV,0.59,0.11
Doddridge,WV,0.18,0.18
Harrison,WV,-0.06,0.05
Marion,WV,0.05,0.11
Monongalia,WV,0.05,-0.12
Preston,WV,0.59,0.38
Taylor,WV,0.27,0.25
Lewis,WV,0.4,0.22
Upshur,WV,0.44,0.17
Fayette,WV,0.12,0.16
Greenbrier,WV,0.15,0.03
Raleigh,WV,0.35,0.12
Summers,WV,-0.05,0.3
Braxton,WV,0.36,0.07
Gilmer,WV,0.57,0.69
Nicholas,WV,0.28,0.26
Webster,WV,0.31,0.4
Boone,WV,0.7,0.28
Clay,WV,0.38,0.36
Kanawha,WV,-0.16,-0.05
Lincoln,WV,0.54,0.39
Logan,WV,0.15,0.09
Putnam,WV,0.2,0.01
Calhoun,WV,0.5,0.31
Roane,WV,0.5,0.16
Mingo,WV,0.4,0.21
Cabell,WV,-0.16,-0.1
Wayne,WV,0.02,0.18
Pendleton,WV,0.68,0.23
Berkeley,WV,-0.35,0
Jefferson,WV,-0.34,0.01
Morgan,WV,0.04,0.12
Grant,WV,0.47,0.28
Hardy,WV,0.25,0.13
Mineral,WV,0.26,0.17
Hampshire,WV,0.17,0.15
Marinette,WI,0.46,0.28
Ashland,WI,0.26,0.08
Bayfield,WI,0.08,-0.2
Price,WI,0.55,0.23
Iron,WI,0.48,0.07
Forest,WI,0.56,0.34
Oneida,WI,0.24,0.1
Vilas,WI,-0.16,0.09
Barron,WI,0.57,0.23
Rusk,WI,0.72,0.23
Sawyer,WI,-0.04,-0.04
Washburn,WI,0.58,0.09
Burnett,WI,0.3,0.1
Polk,WI,0.72,0.16
Pierce,WI,1.06,0.07
St Croix,WI,1.09,0.12
Manitowoc,WI,0.55,0.19
Sheboygan,WI,0.47,0.2
Calumet,WI,1.1,0.57
Fond du Lac,WI,0.66,0.19
Green Lake,WI,0.9,0.24
Outagamie,WI,0.63,0.35
Waupaca,WI,0.71,0.24
Waushara,WI,0.71,0.2
Winnebago,WI,0.32,0.14
Brown,WI,0.36,0.4
Door,WI,0.75,0.09
Kewaunee,WI,1.09,0.49
Oconto,WI,0.58,0.35
Langlade,WI,0.65,0.13
Menominee,WI,-1.2,-0.75
Shawano,WI,0.64,0.23
Adams,WI,-0.08,0.08
Clark,WI,0.89,0.4
Lincoln,WI,0.72,0.11
Marathon,WI,0.82,0.06
Portage,WI,0.7,0.07
Taylor,WI,0.95,0.39
Wood,WI,0.65,0.03
Buffalo,WI,0.88,0.23
Chippewa,WI,0.75,0.17
Dunn,WI,0.88,0.14
Eau Claire,WI,0.5,0.04
Jackson,WI,0.39,0.18
Pepin,WI,1.43,0.41
Trempealeau,WI,0.89,0.33
Juneau,WI,0.65,0.08
La Crosse,WI,0.33,0.1
Monroe,WI,0.57,0.28
Vernon,WI,0.8,0.35
Crawford,WI,0.57,0.17
Grant,WI,0.76,0.23
Green,WI,0.6,0.24
Lafayette,WI,1.18,0.43
Columbia,WI,0.57,0.11
Dane,WI,0.06,-0.01
Iowa,WI,0.91,0.18
Marquette,WI,0.57,0.2
Richland,WI,0.62,0.18
Sauk,WI,0.48,0.2
Kenosha,WI,-0.29,-0.11
Racine,WI,-0.25,0.05
Rock,WI,0,0
Walworth,WI,0.35,0.03
Dodge,WI,0.75,0.35
Jefferson,WI,0.63,0.26
Milwaukee,WI,-0.5,-0.06
Ozaukee,WI,0.8,0.18
Washington,WI,0.68,0.17
Waukesha,WI,0.71,-0.07
Douglas,WI,0.04,0.03
Laramie,WY,0.46,0.08
Goshen,WY,0.65,0.35
Platte,WY,1.02,0.26
Albany,WY,0.44,0.06
Big Horn,WY,1.06,0.21
Park,WY,0.83,0.15
Washakie,WY,0.53,0.27
Fremont,WY,0.22,0.23
Johnson,WY,1.06,0.09
Sheridan,WY,0.97,0.21
Campbell,WY,1.41,0.51
Crook,WY,1.73,0.57
Weston,WY,1.32,0.47
Carbon,WY,0.75,0.29
Converse,WY,1.3,0.42
Natrona,WY,0.94,0.23
Teton,WY,0.67,-0.09
Lincoln,WY,0.93,0.23
Sublette,WY,1.46,0.47
Sweetwater,WY,1.04,0.38
Uinta,WY,0.94,0.45
